ANIO;MINICIO;MES;CODSEXO;CODMUN;MUN112;PROV;ISLA;RECURSO;FRECURSO
2008;08;Agosto;;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2005;10;Octubre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2005;02;Febrero;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2005;09;Septiembre;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Actuación in situ
2009;11;Noviembre;;35002;Agüimes;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2013;12;Diciembre;Ho;35014;La Oliva;Las Palmas;Fuerteventura;Policia Local;Actuación in situ
2005;07;Julio;;38017;Granadilla de Abona;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2014;08;Agosto;;38031;Realejos Los;Tenerife;Tenerife;NA;NA
2011;05;Mayo;Mu;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Rechazo Posterior Protocolo
2014;03;Marzo;;35009;Gáldar;Las Palmas;Gran Canaria;Guardia Civil;No Valorable / Error
2012;02;Febrero;;35004;Arrecife;Las Palmas;Lanzarote;Policia Local;Informacion sin Seguimiento
2008;05;Mayo;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;No Valorable / Error
2011;10;Octubre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;04;Abril;;38006;Arona;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2012;08;Agosto;;38006;Arona;Tenerife;Tenerife;Cuerpo Nacional de Policia;Rechazo Inicial Protocolo
2014;10;Octubre;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;NA;NA
2010;02;Febrero;Mu;38028;Puerto de la Cruz;Tenerife;Tenerife;Ambulancia SVB;Sin Recurso Disponible
2008;08;Agosto;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;NA;NA
2009;09;Septiembre;Mu;38028;Puerto de la Cruz;Tenerife;Tenerife;NA;NA
2008;05;Mayo;;35004;Arrecife;Las Palmas;Lanzarote;Ambulancia SVB;Sin Lesiones
2006;04;Abril;Ho;35022;Santa Lucía;Las Palmas;Gran Canaria;Ambulancia Sanitarizada;Transporte Urg. Sanitarizado
2005;02;Febrero;;35003;Antigua;Las Palmas;Fuerteventura;Policia Local;Informacion sin Seguimiento
2009;09;Septiembre;Ho;38040;Santiago del Teide;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2007;06;Junio;Ho;35018;San Bartolomé Lanzarote;Las Palmas;Lanzarote;Cruz Roja;Transp. Urg. NO Medicalizado
2009;10;Octubre;Ho;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Sin Recurso Disponible
2006;03;Marzo;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2014;07;Julio;;38023;Laguna La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2012;04;Abril;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Actuación in situ
2008;12;Diciembre;Ho;35029;Tinajo;Las Palmas;Lanzarote;NA;NA
2012;10;Octubre;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVA;Varios
2012;05;Mayo;;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;NA
2014;07;Julio;;35030;Tuineje;Las Palmas;Fuerteventura;Guardia Civil;Rechazo Inicial Protocolo
2009;07;Julio;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Bomberos;Informacion sin Seguimiento
2005;05;Mayo;Ho;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2006;06;Junio;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2014;05;Mayo;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2014;12;Diciembre;Ho;38028;Puerto de la Cruz;Tenerife;Tenerife;Ambulancia SVA;Transporte Secundario
2012;07;Julio;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Rechazo Posterior Protocolo
2009;01;Enero;Mu;35017;Puerto Rosario;Las Palmas;Fuerteventura;Ambulancia SVB;Transp. Urg. NO Medicalizado
2007;07;Julio;;35026;Telde;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Rechazo Posterior Protocolo
2006;11;Noviembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Vehículo Asistencia Médica;Asistencia in situ
2010;10;Octubre;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;NA
2011;04;Abril;Mu;38025;Matanza de Acentejo La;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2006;07;Julio;;35011;Ingenio;Las Palmas;Gran Canaria;NA;NA
2013;11;Noviembre;;38017;Granadilla de Abona;Tenerife;Tenerife;NA;NA
2008;05;Mayo;Mu;38008;Breña Alta;Tenerife;La Palma;Ambulancia Sanitarizada;Falsa Alarma
2007;06;Junio;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2014;01;Enero;;35016;Las Palmas;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2013;03;Marzo;;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Policia Local;Actuación in situ
2011;11;Noviembre;Ho;35012;Mogán;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;11;Noviembre;Mu;38035;San Miguel;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2014;11;Noviembre;Mu;35004;Arrecife;Las Palmas;Lanzarote;Ambulancia SVB;Transp. Urg. NO Medicalizado
2014;09;Septiembre;Ho;35008;Firgas;Las Palmas;Gran Canaria;NA;NA
2010;11;Noviembre;;38022;Icod de los Vinos;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2013;04;Abril;;35023;Santa María Guía;Las Palmas;Gran Canaria;Otros;Rechazo Posterior Protocolo
2009;08;Agosto;Mu;38046;Tegueste;Tenerife;Tenerife;Ambulancia SVB;Sin Recurso Disponible
2007;07;Julio;;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Bomberos;Informacion sin Seguimiento
2006;11;Noviembre;Mu;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Rechazo Posterior Protocolo
2009;03;Marzo;Ho;38036;San Sebastian de La Gomera;Tenerife;La Gomera;Ambulancia SVB;Transporte Secundario
2009;06;Junio;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;04;Abril;Ho;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Ambulancia SVA;Sin Recurso Disponible
2005;07;Julio;;38023;Laguna La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2012;09;Septiembre;Mu;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2010;11;Noviembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2007;11;Noviembre;;38001;Adeje;Tenerife;Tenerife;Otros;Informacion sin Seguimiento
2009;10;Octubre;;38043;Tacoronte;Tenerife;Tenerife;Policia Local;Actuación in situ
2011;05;Mayo;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2010;10;Octubre;;38023;Laguna La;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2014;05;Mayo;;35022;Santa Lucía;Las Palmas;Gran Canaria;Policia Local;Anulado Indicación Alertante
2008;04;Abril;Ho;38011;Candelaria;Tenerife;Tenerife;NA;NA
2010;02;Febrero;;35011;Ingenio;Las Palmas;Gran Canaria;Policia Local;Actuación in situ
2005;03;Marzo;Mu;38023;Laguna La;Tenerife;Tenerife;Cuerpo Nacional de Policia;Anulado Indicación Alertante
2012;01;Enero;;38020;Güimar;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2010;06;Junio;Mu;35026;Telde;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2012;10;Octubre;Mu;35026;Telde;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2007;07;Julio;;35004;Arrecife;Las Palmas;Lanzarote;NA;NA
2009;03;Marzo;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Rechazo Posterior Protocolo
2013;01;Enero;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Rechazo Posterior Protocolo
2010;09;Septiembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVA;Asistencia in situ
2007;06;Junio;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2007;01;Enero;Ho;35009;Gáldar;Las Palmas;Gran Canaria;Ambulancia SVB;Anulado Indicación Alertante
2006;08;Agosto;;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Sin Recurso Disponible
2007;06;Junio;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Actuación in situ
2005;06;Junio;Ho;35018;San Bartolomé Lanzarote;Las Palmas;Lanzarote;Guardia Civil;Informacion sin Seguimiento
2014;10;Octubre;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVA;Rechazo Posterior Protocolo
2012;03;Marzo;;38026;Orotava La;Tenerife;Tenerife;Bomberos;Informacion sin Seguimiento
2008;06;Junio;Ho;38035;San Miguel;Tenerife;Tenerife;Ambulancia Sanitarizada;Asistencia in situ
2008;07;Julio;;35017;Puerto Rosario;Las Palmas;Fuerteventura;AAVV Proteccion Civil;Rechazo Posterior Protocolo
2011;04;Abril;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2012;10;Octubre;Ho;35031;Valsequillo;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2007;05;Mayo;Mu;38021;Hermigüa;Tenerife;La Gomera;Ambulancia SVB;Transp. Urg. NO Medicalizado
2009;11;Noviembre;Mu;38023;Laguna La;Tenerife;Tenerife;NA;NA
2014;08;Agosto;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2006;12;Diciembre;Ho;38006;Arona;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;12;Diciembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Guardia Civil;Informacion sin Seguimiento
2010;03;Marzo;;38017;Granadilla de Abona;Tenerife;Tenerife;Bomberos;No Valorable / Error
2010;04;Abril;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Rechazo Posterior Protocolo
2008;02;Febrero;;38048;Valverde;Tenerife;El Hierro;Ambulancia SVB;No Valorable / Error
2012;06;Junio;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2005;09;Septiembre;;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Rechazo Posterior Protocolo
2007;10;Octubre;Ho;38027;Paso EL;Tenerife;La Palma;Ambulancia SVB;Transp. Urg. NO Medicalizado
2012;11;Noviembre;Mu;38023;Laguna La;Tenerife;Tenerife;NA;NA
2014;10;Octubre;Mu;35022;Santa Lucía;Las Palmas;Gran Canaria;Ambulancia Sanitarizada;Asistencia in situ
2005;06;Junio;;35013;Moya;Las Palmas;Gran Canaria;Policia Local;Actuación in situ
2013;10;Octubre;Ho;35023;Santa María Guía;Las Palmas;Gran Canaria;Bomberos;Actuación in situ
2014;04;Abril;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Vehículo Asistencia Médica;Anulado Indicación Alertante
2008;04;Abril;Ho;35008;Firgas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;12;Diciembre;Mu;38031;Realejos Los;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
