IP1.IP2.IP3.0/24,Interno ULL,Tipo,Coordenadas
192.168.0.0/16,Error,Error,0.0 0.0
172.16.0.0/16,Error,Error,0.0 0.0
172.17.0.0/16,Error,Error,0.0 0.0
172.18.0.0/16,Error,Error,0.0 0.0
172.19.0.0/16,Error,Error,0.0 0.0
172.20.0.0/16,Error,Error,0.0 0.0
172.21.0.0/16,Error,Error,0.0 0.0
172.22.0.0/16,Error,Error,0.0 0.0
172.23.0.0/16,Error,Error,0.0 0.0
172.24.0.0/16,Error,Error,0.0 0.0
172.25.0.0/16,Error,Error,0.0 0.0
172.26.0.0/16,Error,Error,0.0 0.0
172.27.0.0/16,Error,Error,0.0 0.0
172.28.0.0/16,Error,Error,0.0 0.0
172.29.0.0/16,Error,Error,0.0 0.0
172.30.0.0/16,Error,Error,0.0 0.0
172.31.0.0/16,Error,Error,0.0 0.0
10.151.0.0/16,Interno ULL,Wifi,0.0 0.0
10.101.0.0/16,Interno ULL,Cableado,28.461210 -16.276267
10.201.0.0/16,Interno ULL,Cableado,28.461210 -16.276267
10.177.0.0/16,Interno ULL,Wifi,28.461210 -16.276267
10.250.0.0/16,Interno ULL,Wifi,28.461210 -16.276267
10.102.0.0/16,Interno ULL,Cableado,0.0 0.0
10.202.0.0/16,Interno ULL,Cableado,0.0 0.0
10.152.0.0/16,Interno ULL,Wifi,0.0 0.0
10.249.0.0/16,Interno ULL,Wifi,0.0 0.0
10.103.0.0/16,Interno ULL,Cableado,28.467004 -16.298225
10.203.0.0/16,Interno ULL,Cableado,28.467004 -16.298225
10.153.0.0/16,Interno ULL,Wifi,28.467004 -16.298225
10.248.0.0/16,Interno ULL,Wifi,28.467004 -16.298225
10.104.0.0/16,Interno ULL,Cableado,0.0 0.0
10.204.0.0/16,Interno ULL,Cableado,0.0 0.0
10.154.0.0/16,Interno ULL,Wifi,0.0 0.0
10.247.0.0/16,Interno ULL,Wifi,0.0 0.0
10.105.0.0/16,Interno ULL,Cableado,28.122463 -16.734031
